subID,cue,coherence,model,parameter,fitted_value
5,0.5,0.54,,n1_neut,-0.001743
5,0.5,0.54,,s1_neut,0.681829
5,0.5,0.54,,n2_neut,-0.178269
5,0.5,0.54,,s2_neut,1.58162
5,0.5,0.54,,B,1.70668
5,0.5,0.52,,n1_neut,2.266064
5,0.5,0.52,,s1_neut,2.076553
5,0.5,0.52,,n2_neut,-0.711802
5,0.5,0.52,,s2_neut,3.338583
5,0.5,0.52,,B,5.779809
5,0.5,0.61,,n1_neut,-0.020208
5,0.5,0.61,,s1_neut,1.870513
5,0.5,0.61,,n2_neut,-0.164646
5,0.5,0.61,,s2_neut,4.667515
5,0.5,0.61,,B,1.003306
5,0.65,0.515,,n1_cong,3.465692
5,0.65,0.515,,n1_incong,-0.38231
5,0.65,0.515,,s1_cong,2.651788
5,0.65,0.515,,s1_incong,6.055716
5,0.65,0.515,,n2_cong,-1.0
5,0.65,0.515,,n2_incong,-0.133342
5,0.65,0.515,,s2_cong,3.375872
5,0.65,0.515,,s2_incong,4.226887
5,0.65,0.515,,B,7.332664
5,0.65,0.56,,n1_cong,0.502794
5,0.65,0.56,,n1_incong,0.465352
5,0.65,0.56,,s1_cong,1.128916
5,0.65,0.56,,s1_incong,-0.904326
5,0.65,0.56,,n2_cong,-0.316311
5,0.65,0.56,,n2_incong,-0.089365
5,0.65,0.56,,s2_cong,1.86166
5,0.65,0.56,,s2_incong,-1.0
5,0.65,0.56,,B,1.372717
5,0.65,0.53,,n1_cong,0.344635
5,0.65,0.53,,n1_incong,0.36714
5,0.65,0.53,,s1_cong,0.989654
5,0.65,0.53,,s1_incong,0.01804
5,0.65,0.53,,n2_cong,-0.443996
5,0.65,0.53,,n2_incong,-0.115352
5,0.65,0.53,,s2_cong,2.252359
5,0.65,0.53,,s2_incong,-1.0
5,0.65,0.53,,B,2.04674
5,0.65,0.54,,n1_cong,0.399837
5,0.65,0.54,,n1_incong,0.386707
5,0.65,0.54,,s1_cong,1.063323
5,0.65,0.54,,s1_incong,-0.292437
5,0.65,0.54,,n2_cong,-0.365802
5,0.65,0.54,,n2_incong,-0.04262
5,0.65,0.54,,s2_cong,1.798261
5,0.65,0.54,,s2_incong,-1.0
5,0.65,0.54,,B,1.720633
5,0.65,0.52,,n1_cong,0.066943
5,0.65,0.52,,n1_incong,0.287233
5,0.65,0.52,,s1_cong,1.344472
5,0.65,0.52,,s1_incong,0.458514
5,0.65,0.52,,n2_cong,-0.598581
5,0.65,0.52,,n2_incong,-0.214624
5,0.65,0.52,,s2_cong,2.454389
5,0.65,0.52,,s2_incong,-1.0
5,0.65,0.52,,B,2.493008
5,0.65,0.61,,n1_cong,0.622669
5,0.65,0.61,,n1_incong,0.418003
5,0.65,0.61,,s1_cong,1.764755
5,0.65,0.61,,s1_incong,-0.929966
5,0.65,0.61,,n2_cong,0.321335
5,0.65,0.61,,n2_incong,0.444965
5,0.65,0.61,,s2_cong,5.009208
5,0.65,0.61,,s2_incong,-0.545865
5,0.65,0.61,,B,1.002197
5,0.8,0.515,,n1_cong,1.649504
5,0.8,0.515,,n1_incong,2.110375
